RUN,GEN,SMILES,VINA
5,30,Cc1[nH+]oc2nc(-c3c(F)ccc4c3[nH]c3ccccc34)cc(/C(O)=[NH+]/C(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3cccc4c5ccccc5n(C)c34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1noc2nc([C@@H]3c4[nH]c5ccccc5c4CC[C@H]3F)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,CC(=O)N(C(=N)C1=N[N]C(=O)c2ccccc21)C(=O)c1cc(-c2cccc3c2[nH]c2ccccc23)[nH+]c2o[nH+]c(C)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c([C@H]3c4[nH]c5ccccc5c4CC[C@@H]3F)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3c(F)ccc4ccccc34)cc(C(=O)/N=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1noc2nc(-c3cccc4c5ccccc5n(C)c34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)/N=C(\O)c3n[nH]c(=O)c4ccccc34)c12,-11.2
5,30,Cc1noc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3c(F)ccc4c3[nH]c3ccccc34)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3c(F)ccc4ccccc34)cc(C(=O)/N=C(/N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1noc2nc(-c3c(F)ccc4c3[nH]c3ccccc34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3cccc4ccccc34)cc(C(=O)/[NH+]=C(/N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3cccc4ccccc34)cc(C(=O)NC(=O)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3c(F)ccc4ccccc34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,28,Cc1noc2[nH+]c(-c3cccc4c3[nH]c3ccccc34)cc(/C(O)=[NH+]/C(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
0,23,Cn1c2ccccc2c2cc(C(=O)[NH+]3CCC(=C4N/[N+](=c5/ccn6cc[n-]c6c5F)C5=CC=CCN54)CC3)ccc21,-11.2
0,23,Cc1nc2cc(C(=O)N3CCC(c4[nH]/[n+](=c5\ccn6cc[n-]c6c5F)c5[n+]4CC=CC=5)CC3)cc(C)c2nc1C,-11.2
0,27,Cn1c2ccccc2c2cc(C(=O)[NH+]3CCC(c4[nH]/[n+](=c5\ccn6cc[n-]c6c5F)c5[n+]4CC=CC=5)CC3)ccc21,-11.2
0,29,Cn1c2ccccc2c2cc(C(=O)[NH+]3CCC(=C4N/[N+](=c5\ccn6cc[nH]c6c5F)C5=CC=CCN54)CC3)ccc21,-11.2
0,29,Cc1cc(C(=O)N2CCC(c3[nH]/[n+](=c4\ccn5cc[n-]c5c4F)c4[n+]3CC=CC=4)CC2)cc2c3ccccc3n(C)c12,-11.2
3,30,C=c1c(C)c2c(c3c1=C(C(=O)N1CCC[C@@H](C(=O)c4ccc5c6c(cccc46)C=C5)C1)[N]N3C(C)=O)OC(F)(F)O2,-11.2
3,30,Cc1c2c(c3c(c1C)=C(/C(N=[N+]=[N-])=[N+]1/CCC[C@H](C(=O)c4ccc5c6c(cc(F)cc46)C=C5)C1)[N][NH+]=3)OC(F)(F)O2,-11.2
3,30,CC1=c2cc(C)c(C)cc2=N[C@@H](N2CCC(C(=N)[N]c3ccc4c5c(cc(F)cc35)C=C4)CC2)[N]1,-11.2
1,25,Cc1ccc2c(c1)[NH2+]C[C@H](c1ccccc1F)/[N+](=C(/O)C/C=C(\O)c1cc(F)c(F)cc1F)CCC2,-11.2
1,9,Cc1cc(C2=Nc3c(Cl)ccc(Cl)c3C(=O)[N@+]23CCN2C(=O)[C@@H](Cc4ccc5ccccc5c4)[N]C(=O)[C@H]2C3)c(F)c(F)c1F,-11.2
8,30,C=C1[N]C(=C2CC[NH+](C(=O)c3cccc4cc(C)ccc34)CC2)n2c(=O)c3c(Cl)ccnc3c[n+]21,-11.2
8,30,Cc1cc2c(cc1F)c(C(=O)N1CCC3(CC1)C(=O)Nc1ccc(F)cc13)cc1[nH+]ccnc12,-11.2
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(O)=Nc3ccc(F)cc34)cc3[nH+]ccnc3c2c1F,-11.2
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(O)=Nc3ccc(F)cc34)cc3nccnc3c2c1F,-11.2
8,30,C=C1[N]C(=C2CC[NH+](Cc3cccc4cc(C)ccc34)CC2)n2c(=O)c3c(Cl)cc[nH+]c3c[n+]21,-11.2
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(=O)[N]c3ccc(F)cc34)cc3[nH+]ccnc3c2c1F,-11.2
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(O)=Nc3ccc(F)cc34)cc3[nH+]cc[nH+]c3c2c1F,-11.2
