Run,Iteration,SMILES,Deep Frag Score,VINA
2,9,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(OC)c(O)c3c(O)cccc13)CC2CS,0.550633,-10.87
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1c(F)ccc3ccccc13)CC2,0.586084,-10.87
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(Cc1cccc3ccccc13)CC2C=O,0.588542,-10.86
2,5,CCOc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2,0.903821,-10.86
2,4,COc1cc(=O)n2c(c1C(=O)N1C(O)Cc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2,0.919861,-10.85
9,6,CC(NC(=O)C(C)c1cccc(F)c1)c1nnc2n1CCN(Cc1cccc(-c3cc(O)ccc3C(F)(F)F)c1)CC2,0.743398,-10.85
9,7,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)ccc3C(F)(F)F)c1)CC2)N(CO)C(=O)Cc1ccc(F)c(F)c1,0.633422,-10.85
9,9,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)cc(F)c3C(F)(F)F)c1)CC2O)N(C)C(=O)Cc1ccc(F)c(F)c1,0.8991,-10.85
1,8,CCn1nc(C(=O)N2CCc3cc(O)ccc3C2)c2c1CCC(N1CC=C(c3cc(O)cc(OC)c3O)C(O)(O)C1)C2,0.709013,-10.85
8,9,CCOC1(C2c3[nH]c4ccccc4c3C(O)C(C)N2C(=O)c2nc(=O)[nH]c3ccccc23)CCC(F)(F)C(F)(F)C1,0.995625,-10.84
1,7,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CC=C(c3cc(O)cc(OC)c3O)C(O)(O)C1)C2,0.847196,-10.84
2,7,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(O)c(O)c3c(O)cccc13)CC2,0.864635,-10.84
1,6,CCC1c2ccccc2CCN1C(=O)c1nn(CC)c2c1CC(N1CC=C(c3cccc(O)c3O)C(O)(O)C1)CC2,0.613589,-10.84
1,3,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CCC(c3cccc(O)c3)=CC1O)C2,0.816872,-10.84
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1ccc(O)c3ccc(F)cc13)CC2,0.761548,-10.84
9,9,Cc1c(O)cc(-c2cccc(CN3CCc4nnc(C(C)N(C)C(=O)Cc5ccc(F)c(F)c5)n4CC3)c2)c(C(F)(F)F)c1F,0.868463,-10.84
1,5,CCn1nc(C(=O)N2CCc3c(F)cccc3C2)c2c1CCC(N1CC=C(c3cccc(O)c3O)C(O)C1)C2,0.686389,-10.84
5,1,O=C(Nc1ccc(-n2cccn2)cc1)C1CC12CCN(C(=O)c1cccc(-c3ccccc3F)c1)CC2F,0.715684,-10.84
9,9,CC(c1nnc2n1CCN(Cc1cc(-c3cc(O)cc(F)c3C(F)(F)F)ccc1F)CC2)N(C)C(=O)Cc1ccc(F)c(F)c1,0.72216,-10.83
9,5,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)ccc3C(F)F)c1)CC2)N(C=O)C(=O)Cc1cccc(F)c1,0.622223,-10.83
2,5,CCC(c1cccc2ccccc12)N1CCc2c(C(=O)N3CCc4c(F)cc(F)cc4C3C)c(OC)cc(=O)n2CC1,0.812104,-10.82
