Run,Iteration,SMILES,Deep Frag Score,VINA
5,2,Cc1ccc(C(CN)n2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)c2C)cc1,0.569601,-9.131
8,9,Cc1c(N2CCN(CC(=O)N3N=C(c4cc(O)c5c(O)cccc5c4)CC3c3cc(F)c(F)c(F)c3F)CC2)cc(O)c(O)c1O,0.9738,-9.13
8,7,CCC1CN(c2cccc(O)c2C)CCN1CC(=O)N1N=C(c2cc(O)c3ccccc3c2)CC1c1cc(F)c(F)c(F)c1F,0.553853,-9.127
4,4,Cc1c(NC(=O)c2cccc(NC(=O)C3(C)Cc4cccc(O)c4O3)c2)c(=O)n(-c2cccc(F)c2O)n1C,0.763461,-9.127
3,5,Cc1nn(Cc2cccc(O)c2O)c(C)c1C(=O)N1CCC(c2nc3cc(CO)cc(O)c3o2)CC1O,0.770577,-9.123
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4cc(=O)oc5c(F)cc6ccccc6c45)sc32)cc1,0.753464,-9.12
8,7,Cc1c(O)cccc1N1CCN(CC(=O)N2N=C(c3cc(O)c4ccccc4c3)CC2c2cc(F)c(F)c(F)c2F)CC1O,0.947292,-9.117
8,3,Cc1cc2ccccc2cc1C1=NN(C(=O)CN2CCN(c3cccc(O)c3C)CC2)C(c2ccc(F)cc2)C1,0.811119,-9.117
2,3,COc1cccc2ccc3oc(=O)cc(COC(=O)c4sc5c(c(C)nn5Cc5ccc(C)cc5)c4C)c3c12,0.763614,-9.115
4,4,Cc1c(NC(=O)c2ccc(O)c(NC(=O)C3Cc4cccc(O)c4O3)c2)c(=O)n(-c2cccc(F)c2O)n1C,0.872414,-9.113
6,3,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)nc1C,0.715224,-9.109
8,7,Cc1c(O)cccc1N1CCN(CC(=O)N2N=C(c3cc(O)c4cccc(O)c4c3)CC2c2cc(F)c(F)c(F)c2F)CC1,0.859088,-9.108
5,2,Cc1ccc(Cn2nc(C)c(C=CC(=O)OC(CC#N)c3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)c2C)cc1,0.592021,-9.105
10,5,COc1cc(C)c(O)cc1C(C)n1nc(C)c2cc(C(=O)OCC(=O)NCc3ccc4c(c3)OC(CO)O4)sc21,0.592652,-9.104
2,2,Cc1ccc(Cn2nc(C)c3c(C)c(C(=O)OCc4cc(=O)oc5ccc6cccc(O)c6c45)sc32)cc1,0.93001,-9.098
6,1,COc1nc(NC(=O)c2cccc(S(=O)(=O)N3CCc4ccccc4C3)c2)ccc1C,0.607769,-9.098
5,1,Cc1nn(Cc2ccc(CF)cc2)c(C)c1C=CC(=O)OCc1nnc(-c2ccc([N+](=O)[O-])cc2)o1,0.638217,-9.098
5,3,COc1cc(-c2nnc(COC(=O)C=C(C#N)c3c(C)nn(Cc4ccc(C)cc4)c3C)o2)ccc1[N+](=O)[O-],0.564638,-9.096
10,3,Cc1cc(O)c(C(CN)n2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OCO5)sc32)cc1O,0.576586,-9.095
10,3,Cc1cc(O)c(C(CCl)n2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OCO5)sc32)cc1O,0.570692,-9.093
5,6,COCC(C)(OC(=O)C=Cc1c(C)nn(Cc2ccc(C)cc2)c1C)c1nnc(-c2ccc([N+](=O)[O-])c(OC)c2)o1,0.927454,-9.092
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OC(C)c3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1,0.884826,-9.092
5,3,COc1cc(-c2nnc(C(C#N)OC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)o2)ccc1[N+](=O)[O-],0.576015,-9.089
10,2,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4C=O)OCO5)sc32)c(O)c1,0.564541,-9.088
7,2,Cc1nn(-c2ccc(F)cc2O)c(C)c1CC(=O)NNC(=O)c1oc2c(ON)cccc2c1C,0.566288,-9.087
6,4,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)c(O)c4C3C)c2)nc1,0.974599,-9.086
10,3,Cc1cc(O)c(C(CF)n2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OCO5)sc32)cc1O,0.571914,-9.083
10,3,Cc1cc(O)c(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4cc5c(cc4OO)OCO5)sc32)cc1O,0.563792,-9.082
10,1,Cc1ccc(C(O)n2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OCO5)sc32)cc1,0.713049,-9.081
8,10,COc1c(C)c(N2CCN(CC(=O)N3N=C(c4cc(O)c5ccccc5c4)CC3c3cc(F)c(F)c(F)c3F)C(C)C2)cc(O)c1O,0.931345,-9.078
6,2,COc1cc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)ccc4C3)c2)ncc1C,0.62822,-9.075
6,1,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3Cc4ccccc4CC3O)c2)nc1,0.776802,-9.071
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OC(C=O)c4cc(=O)oc5ccc6ccccc6c45)sc32)cc1,0.557002,-9.065
4,3,COc1ccc(-n2c(=O)c(NC(=O)c3cccc(NC(=O)C4Cc5cccc(O)c5O4)c3)c(C)n2C)cc1F,0.65156,-9.065
10,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4cc(O)c5c(c4)OCO5)sc32)cc1,0.929426,-9.065
9,3,CC1=C(C(=O)Nc2cccc(C(F)(F)F)c2)C(C)(c2cccc(OCc3ccccc3O)c2)NC(=O)N1C,0.984304,-9.064
5,2,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4cc(O)c([N+](=O)[O-])cc4C)o3)c2C)cc1,0.566514,-9.063
5,4,COc1cc(-c2nnc(C(C)OC(=O)C=Cc3c(C)nn(C(C)c4ccc(C)cc4)c3C)o2)ccc1[N+](=O)[O-],0.863997,-9.062
4,3,Cc1c(NC(=O)c2cccc(NC(=O)C3Cc4cccc(O)c4O3)c2)c(=O)n(-c2ccc(ON)c(F)c2)n1C,0.560811,-9.061
10,3,Cc1cc(O)c(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OC(CO)O5)sc32)cc1O,0.63657,-9.061
9,1,CC1=C(C(=O)Nc2cc(C)cc(C(F)(F)F)c2)C(c2cccc(OCc3ccccc3)c2)NC(=O)N1,0.619121,-9.061
5,1,Cc1ccc(Cn2nc(C)c(C(O)=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1,0.837178,-9.06
10,2,Cc1ccc(C(C)n2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OCO5)sc32)c(O)c1,0.959054,-9.058
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4c(CO)c(=O)oc5ccc6ccccc6c45)sc32)cc1,0.584965,-9.053
9,2,CC1=C(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)C(c2cccc(OCc3ccccc3)c2)NC(=O)N1C,0.955968,-9.052
9,9,C=CC(Oc1cccc(C2(C)NC(=O)N(CC)C(C)=C2C(=O)Nc2c(C)ccc(C(F)(F)F)c2C)c1)c1ccc(O)cc1OC,0.569727,-9.051
9,5,COc1ccccc1COc1cccc(C2(C)NC(=O)N(C)C(C)=C2C(=O)Nc2cc(C(F)(F)F)ccc2C)c1,0.98349,-9.048
1,2,CC(NC(=O)c1ccccc1NS(=O)(=O)c1ccc2cc(O)ccc2c1)c1ccc2c(c1)OCO2,0.935088,-9.048
9,1,CC1=C(C(=O)Nc2cccc(C(F)(F)F)c2C)C(c2cccc(OCc3ccccc3)c2)NC(=O)N1,0.801079,-9.041
7,3,Cc1nn(-c2ccc(F)cc2O)c(C)c1CC(=O)NNC(=O)c1oc2c(O)ccc(O)c2c1C,0.97624,-9.041
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)c2C)cc1,0.987665,-9.04
5,7,CCC(COCO)(OC(=O)C=Cc1c(C)nn(Cc2ccc(C)cc2)c1C)c1nnc(-c2ccc([N+](=O)[O-])c(OC)c2)o1,0.662909,-9.039
2,5,COc1cccc2ccc3oc(=O)cc(C(CO)OC(=O)c4cc5c(C)nn(C(CN)c6ccc(C)cc6)c5s4)c3c12,0.577682,-9.036
4,4,Cc1c(NC(=O)c2cccc(NC(=O)C3Cc4cccc(O)c4O3)c2)c(=O)n(-c2ccc(O)c(F)c2O)n1C,0.94484,-9.034
6,1,Cc1ccc(NC(=O)c2cc(F)cc(S(=O)(=O)N3CCc4ccccc4C3)c2)nc1,0.634667,-9.032
10,3,Cc1cc(O)c(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4C)OCO5)sc32)cc1O,0.618549,-9.032
6,4,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)c(O)c4C3)c2O)nc1,0.699663,-9.03
4,3,Cc1c(NC(=O)c2cccc(NC(=O)C3Cc4cc(O)cc(O)c4O3)c2)c(=O)n(-c2cccc(F)c2)n1C,0.881921,-9.026
10,3,Cc1cc(O)c(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OC(C)O5)sc32)cc1O,0.878174,-9.026
8,4,Cc1c(O)cccc1N1CCN(CC(=O)N2N=C(c3cc(O)c4ccccc4c3)CC2c2ccc(F)c(F)c2)CC1,0.999461,-9.025
5,2,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)c2C)cc1F,0.850449,-9.025
4,5,COc1cccc2c1OC(C(=O)Nc1cccc(C(=O)Nc3c(C)n(C)n(-c4c(O)ccc(F)c4O)c3=O)c1)C2,0.808091,-9.024
2,2,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4c(C)c(=O)oc5ccc6cccc(O)c6c45)sc32)cc1,0.745825,-9.023
5,3,COc1cc(-c2nnc(COC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)o2)cc(C)c1[N+](=O)[O-],0.622555,-9.022
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1F,0.606074,-9.022
5,4,COc1cc(-c2nnc(C(C)OC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)o2)cc(O)c1[N+](=O)[O-],0.926884,-9.021
3,4,Cc1cc(O)c2oc(C3CCN(C(=O)c4c(C)nn(Cc5cccc(O)c5O)c4C)CC3F)nc2c1,0.789989,-9.021
6,1,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4ccccc4C3C)c2)nc1,0.82174,-9.019
7,3,Cc1nn(-c2ccc(F)cc2O)c(C)c1CC(=O)NNC(=O)c1oc2ccc(N)c(O)c2c1C,0.562134,-9.018
5,4,COc1cc(-c2nnc(C(C)OC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)o2)c(O)cc1[N+](=O)[O-],0.912147,-9.017
5,2,Cc1ccc(Cn2nc(C)c(C=C(O)C(=O)OCc3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)c2C)cc1,0.839054,-9.013
