Run,Iteration,SMILES,Deep Frag Score,VINA
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.99153,-10.29
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2cc(F)c(F)c(F)c2N1,0.586019,-10.28
9,8,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2cccc(N)c12,0.572684,-10.28
4,2,Cc1c(F)cccc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cccc4c3)CC2c2ccccc2)CC1,0.723003,-10.28
10,3,Cc1[nH]c2ccc(C(=O)N3C4CCC3CC(O)(Cc3c(F)c(F)c(F)c(F)c3F)C4)cc2c1C,0.725778,-10.28
9,4,CCCc1c(C2(O)NC(=O)c3ccc(F)cc3N2)c(C)nn1Cc1cc(F)cc2ccccc12,0.603854,-10.27
9,3,COc1c(F)cc2ccccc2c1Cn1nc(C)c(C2NC(=O)c3ccc(F)cc3N2)c1C,0.548116,-10.27
5,6,Cc1cc(C(C)N2C(=O)N(C(C)C)C3(CCCc4ccccc43)C2=O)cc2c1OCC(OCO)CO2,0.617979,-10.26
4,9,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3ccc4c(OO)cc(O)cc4c3)C(F)C2c2cccc(F)c2F)CC1,0.651775,-10.26
10,4,Cc1[nH]c2ccc(C(=O)N3C4CCC3(O)CC(Cc3cc(F)c(F)c(F)c3F)(OCBr)C4)cc2c1C,0.576653,-10.26
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CC=O)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.566779,-10.24
4,6,Cc1cc(O)c(O)cc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cccc4c3)C(F)C2c2cc(F)ccc2F)CC1,0.937829,-10.24
9,5,Cc1nn(Cc2cc(F)c(F)c3cc(O)ccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.841518,-10.24
4,4,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cccc4c3)CC2c2ccccc2)CC1,0.983441,-10.24
